town,latitude,longitude
"San Juan de la Nava",40.4787503,-4.680562
"San Juan del Molinillo",40.4586971,-4.8179795
"San Juan del Olmo",40.6536135,-5.0495566
"San Lorenzo de Tormes",40.3701858,-5.488168
"San Martín de la Vega del Alberche",40.4302807,-5.1557918
"San Martín del Pimpollar",40.3684174,-5.0549407
"San Miguel de Corneja",40.4873512,-5.2862732
"San Miguel de Serrezuela",40.6701416,-5.2877253
"San Pascual",40.881645,-4.7550974
"San Pedro del Arroyo",40.8023476,-4.8708817
"Santa Cruz del Valle",40.2518102,-5.0018227
"Santa Cruz de Pinares",40.5420093,-4.5789276
"Santa María del Arroyo",40.6012086,-4.9237848
"Santa María del Berrocal",40.5081245,-5.4053099
"Santa María de los Caballeros",40.3887337,-5.4514771
"Santa María del Tiétar",40.3042531,-4.5541531
"Santiago del Collado",40.4335719,-5.3564924
"Santo Domingo de las Posadas",40.8118343,-4.6344621
"Santo Tomé de Zabarcos",40.7868813,-4.9105385
"San Vicente de Arévalo",40.9677961,-4.8009144
"La Serrada",40.6316377,-4.7927475
"Serranillos",40.3370385,-4.9110018
"Sigeres",40.7989266,-4.9337239
"Sinlabajos",41.0754442,-4.831095
"Solana de Ávila",40.3154483,-5.6122436
"Solana de Rioalmar",40.7380008,-5.0102947
"Solosancho",40.552537,-4.9050209
"Sotalbo",40.5417959,-4.8485522
"Sotillo de la Adrada",40.2920324,-4.5826532
"El Tiemblo",40.414323,-4.500142
"Tiñosillos",40.934253,-4.7275523
"Tolbaños",40.7515462,-4.5818637
"Tormellas",40.3039689,-5.5118018
"Tornadizos de Ávila",40.6260978,-4.6132023
"Tórtoles",40.5614138,-5.2617982
"La Torre",40.5887189,-4.9658282
"Umbrías",40.3131382,-5.5785075
"Vadillo de la Sierra",40.6063594,-5.1248517
"Valdecasa",40.659698,-5.011903
"Vega de Santa María",40.8369568,-4.6413527
"Velayos",40.840986,-4.6226763
"Villaflor",40.7582122,-4.8745021
"Villafranca de la Sierra",40.4984796,-5.2313259
"Villanueva de Gómez",40.8822647,-4.716141
"Villanueva del Aceral",41.0417451,-4.8542126
"Villanueva del Campillo",40.5769506,-5.179421
"Villar de Corneja",40.4747394,-5.4341556
"Villarejo del Valle",40.2867537,-4.9957469
"Villatoro",40.5557932,-5.1124361
"Viñegra de Moraña",40.8504638,-4.9211106
"Vita",40.8113662,-5.0053801
"Zapardiel de la Cañada",40.606713,-5.3385249
"Zapardiel de la Ribera",40.3554346,-5.3287255
"San Juan de Gredos",40.34166725,-5.229980827147707
"Santa María del Cubillo",40.7119986,-4.446411272820608
"Diego del Carpio",40.6706,-5.344616760942301
"Santiago del Tormes",40.34501535,-5.396383124218113
"Villanueva de Ávila",40.3799296,-4.8211749
"Acedera",39.0751785,-5.5720696
"Aceuchal",38.6479821,-6.486997
"Ahillones",38.2600292,-5.8644659
"Alange",38.7851386,-6.2472718
"La Albuera",38.7172283,-6.8230848
"Alburquerque",39.2190169,-6.9999295
"Alconchel",38.5167174,-7.0709841
"Alconera",38.3972763,-6.476699
"Aljucén",39.0446386,-6.331345
"Almendral",38.613547,-6.8224367
"Almendralejo",38.6846791,-6.4067802
"Arroyo de San Serván",38.8548255,-6.4545275
"Atalaya",38.3337453,-6.4748926
"Azuaga",38.2592148,-5.6768563
